fpl_team_id,fpl_team_name,fpl_short_name,understat_team_id,understat_team_name,understat_short_name
3,Arsenal,ARS,83,Arsenal,ARS
7,Aston Villa,AVL,71,Aston Villa,AVL
36,Brighton,BHA,220,Brighton,BRI
91,Bournemouth,BOU,73,Bournemouth,BOU
94,Brentford,BRE,244,Brentford,BRE
90,Burnley,BUR,92,Burnley,BUR
97,Cardiff,CAR,227,Cardiff,CAR
8,Chelsea,CHE,80,Chelsea,CHE
9,Coventry City,COV,,,COV
31,Crystal Palace,CRY,78,Crystal Palace,CRY
11,Everton,EVE,72,Everton,EVE
54,Fulham,FUL,228,Fulham,FLH
38,Huddersfield,HUD,219,Huddersfield,HUD
88,Hull,HUL,91,Hull City,HUL
40,Ipswich,IPS,285,Ipswich Town,IPS
2,Leeds,LEE,245,Leeds,LED
13,Leicester,LEI,75,Leicester,LEI
14,Liverpool,LIV,87,Liverpool,LIV
102,Luton,LUT,256,Luton,LUT
43,Man City,MCI,88,Manchester City,MCI
25,Boro,MID,93,Middlesbrough,MID
1,Man Utd,MUN,89,Manchester United,MUN
4,Newcastle,NEW,86,Newcastle United,NEW
17,Nott'm Forest,NFO,249,Nottingham Forest,NOT
45,Norwich,NOR,79,Norwich,NOR
49,Sheffield Utd,SHU,238,Sheffield United,SHE
20,Southampton,SOU,74,Southampton,SOU
110,Stoke,STK,85,Stoke,STO
56,Sunderland,SUN,77,Sunderland,SUN
80,Swansea,SWA,84,Swansea,SWA
6,Spurs,TOT,82,Tottenham,TOT
57,Watford,WAT,90,Watford,WAT
35,West Brom,WBA,76,West Bromwich Albion,WBA
21,West Ham,WHU,81,West Ham,WHU
39,Wolves,WOL,229,Wolverhampton Wanderers,WOL
